aluno_id,Aluno,Sala,Unidade,Aula,Data,Fez a atividade antes da aula,Presença/Ausencia,Fez lição de casa,Participação
Estudante 7::Four Corners A1::Campinas,Estudante 7,Four Corners A1,Campinas,11,2025-05-24,1.0,0.0,1.0,1.0
Estudante 7::Four Corners A1::Campinas,Estudante 7,Four Corners A1,Campinas,12,2025-05-31,1.0,0.0,1.0,3.0
Estudante 7::Four Corners A1::Campinas,Estudante 7,Four Corners A1,Campinas,13,2025-06-07,1.0,1.0,0.0,1.0
Estudante 7::Four Corners A1::Campinas,Estudante 7,Four Corners A1,Campinas,14,,0.0,0.0,0.0,1.0
Estudante 8::Four Corners A1::Campinas,Estudante 8,Four Corners A1,Campinas,1,2025-02-08,0.0,0.0,0.0,1.0
Estudante 8::Four Corners A1::Campinas,Estudante 8,Four Corners A1,Campinas,2,2025-02-15,1.0,0.0,0.0,1.0
Estudante 8::Four Corners A1::Campinas,Estudante 8,Four Corners A1,Campinas,3,2025-02-22,0.0,1.0,1.0,3.0
Estudante 8::Four Corners A1::Campinas,Estudante 8,Four Corners A1,Campinas,4,2025-03-08,1.0,1.0,0.0,3.0
Estudante 8::Four Corners A1::Campinas,Estudante 8,Four Corners A1,Campinas,5,2025-03-15,1.0,1.0,1.0,3.0
Estudante 8::Four Corners A1::Campinas,Estudante 8,Four Corners A1,Campinas,6,2025-03-29,1.0,1.0,1.0,1.0
Estudante 8::Four Corners A1::Campinas,Estudante 8,Four Corners A1,Campinas,7,2025-04-05,1.0,1.0,0.0,3.0
Estudante 8::Four Corners A1::Campinas,Estudante 8,Four Corners A1,Campinas,8,2025-04-12,1.0,1.0,1.0,3.0
Estudante 8::Four Corners A1::Campinas,Estudante 8,Four Corners A1,Campinas,9,2025-04-26,1.0,1.0,0.0,3.0
Estudante 8::Four Corners A1::Campinas,Estudante 8,Four Corners A1,Campinas,10,2025-05-17,0.0,0.0,1.0,1.0
Estudante 8::Four Corners A1::Campinas,Estudante 8,Four Corners A1,Campinas,11,2025-05-24,1.0,1.0,1.0,3.0
Estudante 8::Four Corners A1::Campinas,Estudante 8,Four Corners A1,Campinas,12,2025-05-31,1.0,1.0,0.0,1.0
Estudante 8::Four Corners A1::Campinas,Estudante 8,Four Corners A1,Campinas,13,2025-06-07,0.0,1.0,0.0,3.0
Estudante 8::Four Corners A1::Campinas,Estudante 8,Four Corners A1,Campinas,14,,0.0,0.0,0.0,1.0
Estudante 9::Four Corners A1::Campinas,Estudante 9,Four Corners A1,Campinas,1,2025-02-08,0.0,0.0,0.0,1.0
Estudante 9::Four Corners A1::Campinas,Estudante 9,Four Corners A1,Campinas,2,2025-02-15,1.0,1.0,0.0,3.0
Estudante 9::Four Corners A1::Campinas,Estudante 9,Four Corners A1,Campinas,3,2025-02-22,0.0,0.0,0.0,1.0
Estudante 9::Four Corners A1::Campinas,Estudante 9,Four Corners A1,Campinas,4,2025-03-08,0.0,1.0,1.0,3.0
Estudante 9::Four Corners A1::Campinas,Estudante 9,Four Corners A1,Campinas,5,2025-03-15,1.0,1.0,0.5,3.0
Estudante 9::Four Corners A1::Campinas,Estudante 9,Four Corners A1,Campinas,6,2025-03-29,0.0,1.0,1.0,1.0
Estudante 9::Four Corners A1::Campinas,Estudante 9,Four Corners A1,Campinas,7,2025-04-05,1.0,1.0,1.0,3.0
Estudante 9::Four Corners A1::Campinas,Estudante 9,Four Corners A1,Campinas,8,2025-04-12,0.0,1.0,1.0,3.0
Estudante 9::Four Corners A1::Campinas,Estudante 9,Four Corners A1,Campinas,9,2025-04-26,0.5,1.0,0.0,3.0
Estudante 9::Four Corners A1::Campinas,Estudante 9,Four Corners A1,Campinas,10,2025-05-17,0.0,1.0,0.0,3.0
Estudante 9::Four Corners A1::Campinas,Estudante 9,Four Corners A1,Campinas,11,2025-05-24,0.0,0.0,0.0,1.0
Estudante 9::Four Corners A1::Campinas,Estudante 9,Four Corners A1,Campinas,12,2025-05-31,0.0,0.0,0.0,1.0
Estudante 9::Four Corners A1::Campinas,Estudante 9,Four Corners A1,Campinas,13,2025-06-07,0.0,1.0,0.0,3.0
Estudante 9::Four Corners A1::Campinas,Estudante 9,Four Corners A1,Campinas,14,,0.0,0.0,0.0,1.0
Estudante 1::Four Corners B1::Campinas,Estudante 1,Four Corners B1,Campinas,1,2025-02-08,0.0,1.0,0.0,3.0
Estudante 1::Four Corners B1::Campinas,Estudante 1,Four Corners B1,Campinas,2,2025-02-15,1.0,1.0,1.0,3.0
Estudante 1::Four Corners B1::Campinas,Estudante 1,Four Corners B1,Campinas,3,2025-02-22,1.0,1.0,1.0,3.0
Estudante 1::Four Corners B1::Campinas,Estudante 1,Four Corners B1,Campinas,4,2025-03-08,1.0,1.0,1.0,3.0
Estudante 1::Four Corners B1::Campinas,Estudante 1,Four Corners B1,Campinas,5,2025-03-15,1.0,1.0,1.0,3.0
Estudante 1::Four Corners B1::Campinas,Estudante 1,Four Corners B1,Campinas,6,2025-03-29,1.0,1.0,1.0,3.0
Estudante 1::Four Corners B1::Campinas,Estudante 1,Four Corners B1,Campinas,7,2025-04-05,1.0,1.0,1.0,3.0
Estudante 1::Four Corners B1::Campinas,Estudante 1,Four Corners B1,Campinas,8,2025-04-12,1.0,1.0,1.0,3.0
Estudante 1::Four Corners B1::Campinas,Estudante 1,Four Corners B1,Campinas,9,2025-04-26,1.0,1.0,1.0,3.0
Estudante 1::Four Corners B1::Campinas,Estudante 1,Four Corners B1,Campinas,10,2025-05-17,0.0,1.0,1.0,3.0
Estudante 1::Four Corners B1::Campinas,Estudante 1,Four Corners B1,Campinas,11,2025-05-24,1.0,1.0,1.0,3.0
Estudante 1::Four Corners B1::Campinas,Estudante 1,Four Corners B1,Campinas,12,2025-05-31,1.0,1.0,1.0,3.0
Estudante 1::Four Corners B1::Campinas,Estudante 1,Four Corners B1,Campinas,13,2025-06-07,1.0,0.0,0.0,3.0
Estudante 1::Four Corners B1::Campinas,Estudante 1,Four Corners B1,Campinas,14,,0.0,0.0,0.0,1.0
Estudante 10::Four Corners B1::Campinas,Estudante 10,Four Corners B1,Campinas,1,2025-02-08,0.0,1.0,0.0,3.0
Estudante 10::Four Corners B1::Campinas,Estudante 10,Four Corners B1,Campinas,2,2025-02-15,1.0,1.0,1.0,3.0
Estudante 10::Four Corners B1::Campinas,Estudante 10,Four Corners B1,Campinas,3,2025-02-22,1.0,1.0,1.0,3.0
Estudante 10::Four Corners B1::Campinas,Estudante 10,Four Corners B1,Campinas,4,2025-03-08,1.0,1.0,1.0,3.0
Estudante 10::Four Corners B1::Campinas,Estudante 10,Four Corners B1,Campinas,5,2025-03-15,1.0,1.0,1.0,3.0
Estudante 10::Four Corners B1::Campinas,Estudante 10,Four Corners B1,Campinas,6,2025-03-29,1.0,1.0,1.0,3.0
Estudante 10::Four Corners B1::Campinas,Estudante 10,Four Corners B1,Campinas,7,2025-04-05,1.0,1.0,1.0,3.0
Estudante 10::Four Corners B1::Campinas,Estudante 10,Four Corners B1,Campinas,8,2025-04-12,1.0,1.0,1.0,3.0
Estudante 10::Four Corners B1::Campinas,Estudante 10,Four Corners B1,Campinas,9,2025-04-26,1.0,1.0,1.0,3.0
Estudante 10::Four Corners B1::Campinas,Estudante 10,Four Corners B1,Campinas,10,2025-05-17,1.0,1.0,1.0,3.0
Estudante 10::Four Corners B1::Campinas,Estudante 10,Four Corners B1,Campinas,11,2025-05-24,1.0,1.0,1.0,3.0
Estudante 10::Four Corners B1::Campinas,Estudante 10,Four Corners B1,Campinas,12,2025-05-31,1.0,0.0,1.0,1.0
Estudante 10::Four Corners B1::Campinas,Estudante 10,Four Corners B1,Campinas,13,2025-06-07,1.0,1.0,0.0,3.0
Estudante 10::Four Corners B1::Campinas,Estudante 10,Four Corners B1,Campinas,14,,0.0,0.0,0.0,1.0
Estudante 11::Four Corners B1::Campinas,Estudante 11,Four Corners B1,Campinas,1,2025-02-08,0.0,1.0,0.0,3.0
Estudante 11::Four Corners B1::Campinas,Estudante 11,Four Corners B1,Campinas,2,2025-02-15,0.0,1.0,1.0,3.0
Estudante 11::Four Corners B1::Campinas,Estudante 11,Four Corners B1,Campinas,3,2025-02-22,0.0,1.0,1.0,3.0
Estudante 11::Four Corners B1::Campinas,Estudante 11,Four Corners B1,Campinas,4,2025-03-08,1.0,0.0,1.0,3.0
Estudante 11::Four Corners B1::Campinas,Estudante 11,Four Corners B1,Campinas,5,2025-03-15,1.0,1.0,1.0,3.0
Estudante 11::Four Corners B1::Campinas,Estudante 11,Four Corners B1,Campinas,6,2025-03-29,1.0,1.0,1.0,3.0
Estudante 11::Four Corners B1::Campinas,Estudante 11,Four Corners B1,Campinas,7,2025-04-05,1.0,1.0,1.0,3.0
Estudante 11::Four Corners B1::Campinas,Estudante 11,Four Corners B1,Campinas,8,2025-04-12,1.0,1.0,1.0,3.0
Estudante 11::Four Corners B1::Campinas,Estudante 11,Four Corners B1,Campinas,9,2025-04-26,1.0,1.0,1.0,3.0
Estudante 11::Four Corners B1::Campinas,Estudante 11,Four Corners B1,Campinas,10,2025-05-17,1.0,1.0,1.0,3.0
Estudante 11::Four Corners B1::Campinas,Estudante 11,Four Corners B1,Campinas,11,2025-05-24,1.0,0.0,1.0,1.0
Estudante 11::Four Corners B1::Campinas,Estudante 11,Four Corners B1,Campinas,12,2025-05-31,0.0,0.0,1.0,1.0
Estudante 11::Four Corners B1::Campinas,Estudante 11,Four Corners B1,Campinas,13,2025-06-07,1.0,1.0,0.0,3.0
Estudante 11::Four Corners B1::Campinas,Estudante 11,Four Corners B1,Campinas,14,,0.0,0.0,0.0,1.0
Estudante 12::Four Corners B1::Campinas,Estudante 12,Four Corners B1,Campinas,1,2025-02-08,0.0,0.0,0.0,1.0
Estudante 12::Four Corners B1::Campinas,Estudante 12,Four Corners B1,Campinas,2,2025-02-15,0.0,1.0,1.0,3.0
Estudante 12::Four Corners B1::Campinas,Estudante 12,Four Corners B1,Campinas,3,2025-02-22,0.0,0.0,1.0,1.0
Estudante 12::Four Corners B1::Campinas,Estudante 12,Four Corners B1,Campinas,4,2025-03-08,1.0,1.0,1.0,1.0
Estudante 12::Four Corners B1::Campinas,Estudante 12,Four Corners B1,Campinas,5,2025-03-15,1.0,1.0,0.0,3.0
Estudante 12::Four Corners B1::Campinas,Estudante 12,Four Corners B1,Campinas,6,2025-03-29,0.0,1.0,1.0,3.0
Estudante 12::Four Corners B1::Campinas,Estudante 12,Four Corners B1,Campinas,7,2025-04-05,0.0,1.0,1.0,3.0
Estudante 12::Four Corners B1::Campinas,Estudante 12,Four Corners B1,Campinas,8,2025-04-12,1.0,1.0,1.0,3.0
Estudante 12::Four Corners B1::Campinas,Estudante 12,Four Corners B1,Campinas,9,2025-04-26,1.0,1.0,1.0,3.0
Estudante 12::Four Corners B1::Campinas,Estudante 12,Four Corners B1,Campinas,10,2025-05-17,1.0,1.0,0.0,3.0
Estudante 12::Four Corners B1::Campinas,Estudante 12,Four Corners B1,Campinas,11,2025-05-24,0.0,1.0,0.0,3.0
Estudante 12::Four Corners B1::Campinas,Estudante 12,Four Corners B1,Campinas,12,2025-05-31,1.0,0.0,0.0,1.0
Estudante 12::Four Corners B1::Campinas,Estudante 12,Four Corners B1,Campinas,13,2025-06-07,0.0,1.0,0.0,3.0
Estudante 12::Four Corners B1::Campinas,Estudante 12,Four Corners B1,Campinas,14,,0.0,0.0,0.0,1.0
Estudante 13::Four Corners B1::Campinas,Estudante 13,Four Corners B1,Campinas,1,2025-02-08,0.0,1.0,0.0,3.0
Estudante 13::Four Corners B1::Campinas,Estudante 13,Four Corners B1,Campinas,2,2025-02-15,1.0,1.0,1.0,3.0
Estudante 13::Four Corners B1::Campinas,Estudante 13,Four Corners B1,Campinas,3,2025-02-22,1.0,1.0,1.0,3.0
Estudante 13::Four Corners B1::Campinas,Estudante 13,Four Corners B1,Campinas,4,2025-03-08,1.0,1.0,1.0,3.0
Estudante 13::Four Corners B1::Campinas,Estudante 13,Four Corners B1,Campinas,5,2025-03-15,1.0,1.0,1.0,3.0
Estudante 13::Four Corners B1::Campinas,Estudante 13,Four Corners B1,Campinas,6,2025-03-29,1.0,1.0,1.0,3.0
Estudante 13::Four Corners B1::Campinas,Estudante 13,Four Corners B1,Campinas,7,2025-04-05,1.0,1.0,1.0,3.0
Estudante 13::Four Corners B1::Campinas,Estudante 13,Four Corners B1,Campinas,8,2025-04-12,1.0,1.0,1.0,3.0
Estudante 13::Four Corners B1::Campinas,Estudante 13,Four Corners B1,Campinas,9,2025-04-26,1.0,1.0,1.0,3.0
Estudante 13::Four Corners B1::Campinas,Estudante 13,Four Corners B1,Campinas,10,2025-05-17,1.0,1.0,1.0,3.0
Estudante 13::Four Corners B1::Campinas,Estudante 13,Four Corners B1,Campinas,11,2025-05-24,1.0,1.0,1.0,3.0
Estudante 13::Four Corners B1::Campinas,Estudante 13,Four Corners B1,Campinas,12,2025-05-31,1.0,1.0,1.0,3.0
Estudante 13::Four Corners B1::Campinas,Estudante 13,Four Corners B1,Campinas,13,2025-06-07,1.0,1.0,0.0,3.0
Estudante 13::Four Corners B1::Campinas,Estudante 13,Four Corners B1,Campinas,14,,0.0,0.0,0.0,1.0
Estudante 14::Four Corners B1::Campinas,Estudante 14,Four Corners B1,Campinas,1,2025-02-08,0.0,0.0,0.0,1.0
Estudante 14::Four Corners B1::Campinas,Estudante 14,Four Corners B1,Campinas,2,2025-02-15,0.0,1.0,1.0,3.0
Estudante 14::Four Corners B1::Campinas,Estudante 14,Four Corners B1,Campinas,3,2025-02-22,1.0,1.0,1.0,3.0
Estudante 14::Four Corners B1::Campinas,Estudante 14,Four Corners B1,Campinas,4,2025-03-08,1.0,0.0,1.0,3.0
Estudante 14::Four Corners B1::Campinas,Estudante 14,Four Corners B1,Campinas,5,2025-03-15,1.0,1.0,0.0,3.0
Estudante 14::Four Corners B1::Campinas,Estudante 14,Four Corners B1,Campinas,6,2025-03-29,0.0,1.0,0.0,3.0
Estudante 14::Four Corners B1::Campinas,Estudante 14,Four Corners B1,Campinas,7,2025-04-05,0.0,0.0,0.0,1.0
Estudante 14::Four Corners B1::Campinas,Estudante 14,Four Corners B1,Campinas,8,2025-04-12,0.0,0.0,0.0,1.0
Estudante 14::Four Corners B1::Campinas,Estudante 14,Four Corners B1,Campinas,9,2025-04-26,0.0,1.0,1.0,3.0
Estudante 14::Four Corners B1::Campinas,Estudante 14,Four Corners B1,Campinas,10,2025-05-17,1.0,1.0,1.0,3.0
Estudante 14::Four Corners B1::Campinas,Estudante 14,Four Corners B1,Campinas,11,2025-05-24,0.0,1.0,0.0,3.0
Estudante 14::Four Corners B1::Campinas,Estudante 14,Four Corners B1,Campinas,12,2025-05-31,0.0,1.0,1.0,3.0
Estudante 14::Four Corners B1::Campinas,Estudante 14,Four Corners B1,Campinas,13,2025-06-07,1.0,1.0,0.0,3.0
Estudante 14::Four Corners B1::Campinas,Estudante 14,Four Corners B1,Campinas,14,,0.0,0.0,0.0,1.0
Estudante 15::Four Corners B1::Campinas,Estudante 15,Four Corners B1,Campinas,1,2025-02-08,0.0,1.0,0.0,3.0
Estudante 15::Four Corners B1::Campinas,Estudante 15,Four Corners B1,Campinas,2,2025-02-15,1.0,1.0,1.0,3.0
Estudante 15::Four Corners B1::Campinas,Estudante 15,Four Corners B1,Campinas,3,2025-02-22,1.0,1.0,1.0,3.0
Estudante 15::Four Corners B1::Campinas,Estudante 15,Four Corners B1,Campinas,4,2025-03-08,0.0,1.0,1.0,3.0
Estudante 15::Four Corners B1::Campinas,Estudante 15,Four Corners B1,Campinas,5,2025-03-15,1.0,1.0,1.0,3.0
Estudante 15::Four Corners B1::Campinas,Estudante 15,Four Corners B1,Campinas,6,2025-03-29,1.0,0.0,1.0,1.0
Estudante 15::Four Corners B1::Campinas,Estudante 15,Four Corners B1,Campinas,7,2025-04-05,1.0,1.0,1.0,3.0
Estudante 15::Four Corners B1::Campinas,Estudante 15,Four Corners B1,Campinas,8,2025-04-12,1.0,0.0,1.0,1.0
Estudante 15::Four Corners B1::Campinas,Estudante 15,Four Corners B1,Campinas,9,2025-04-26,1.0,1.0,1.0,3.0
Estudante 15::Four Corners B1::Campinas,Estudante 15,Four Corners B1,Campinas,10,2025-05-17,1.0,1.0,1.0,3.0
Estudante 15::Four Corners B1::Campinas,Estudante 15,Four Corners B1,Campinas,11,2025-05-24,1.0,0.0,1.0,1.0
Estudante 15::Four Corners B1::Campinas,Estudante 15,Four Corners B1,Campinas,12,2025-05-31,1.0,1.0,1.0,3.0
Estudante 15::Four Corners B1::Campinas,Estudante 15,Four Corners B1,Campinas,13,2025-06-07,1.0,1.0,0.0,3.0
Estudante 15::Four Corners B1::Campinas,Estudante 15,Four Corners B1,Campinas,14,,0.0,0.0,0.0,1.0
Estudante 16::Four Corners B1::Campinas,Estudante 16,Four Corners B1,Campinas,1,2025-02-08,0.0,1.0,0.0,3.0
Estudante 16::Four Corners B1::Campinas,Estudante 16,Four Corners B1,Campinas,2,2025-02-15,1.0,1.0,1.0,3.0
Estudante 16::Four Corners B1::Campinas,Estudante 16,Four Corners B1,Campinas,3,2025-02-22,1.0,1.0,1.0,3.0
Estudante 16::Four Corners B1::Campinas,Estudante 16,Four Corners B1,Campinas,4,2025-03-08,1.0,1.0,1.0,3.0
Estudante 16::Four Corners B1::Campinas,Estudante 16,Four Corners B1,Campinas,5,2025-03-15,1.0,1.0,1.0,3.0
Estudante 16::Four Corners B1::Campinas,Estudante 16,Four Corners B1,Campinas,6,2025-03-29,1.0,1.0,0.0,3.0
Estudante 16::Four Corners B1::Campinas,Estudante 16,Four Corners B1,Campinas,7,2025-04-05,0.0,1.0,1.0,3.0
Estudante 16::Four Corners B1::Campinas,Estudante 16,Four Corners B1,Campinas,8,2025-04-12,1.0,1.0,1.0,3.0
Estudante 16::Four Corners B1::Campinas,Estudante 16,Four Corners B1,Campinas,9,2025-04-26,1.0,1.0,1.0,3.0
Estudante 16::Four Corners B1::Campinas,Estudante 16,Four Corners B1,Campinas,10,2025-05-17,1.0,1.0,0.0,3.0
Estudante 16::Four Corners B1::Campinas,Estudante 16,Four Corners B1,Campinas,11,2025-05-24,0.0,1.0,0.0,3.0
Estudante 16::Four Corners B1::Campinas,Estudante 16,Four Corners B1,Campinas,12,2025-05-31,0.0,1.0,0.0,3.0
Estudante 16::Four Corners B1::Campinas,Estudante 16,Four Corners B1,Campinas,13,2025-06-07,1.0,1.0,0.0,3.0
Estudante 16::Four Corners B1::Campinas,Estudante 16,Four Corners B1,Campinas,14,,0.0,0.0,0.0,1.0
Estudante 2::Four Corners B1::Campinas,Estudante 2,Four Corners B1,Campinas,1,2025-02-08,0.0,1.0,0.0,3.0
Estudante 2::Four Corners B1::Campinas,Estudante 2,Four Corners B1,Campinas,2,2025-02-15,1.0,1.0,1.0,3.0
Estudante 2::Four Corners B1::Campinas,Estudante 2,Four Corners B1,Campinas,3,2025-02-22,1.0,1.0,1.0,3.0
Estudante 2::Four Corners B1::Campinas,Estudante 2,Four Corners B1,Campinas,4,2025-03-08,1.0,1.0,1.0,3.0
Estudante 2::Four Corners B1::Campinas,Estudante 2,Four Corners B1,Campinas,5,2025-03-15,1.0,1.0,1.0,3.0
Estudante 2::Four Corners B1::Campinas,Estudante 2,Four Corners B1,Campinas,6,2025-03-29,1.0,1.0,1.0,3.0
Estudante 2::Four Corners B1::Campinas,Estudante 2,Four Corners B1,Campinas,7,2025-04-05,1.0,0.0,1.0,1.0
Estudante 2::Four Corners B1::Campinas,Estudante 2,Four Corners B1,Campinas,8,2025-04-12,1.0,1.0,1.0,3.0
Estudante 2::Four Corners B1::Campinas,Estudante 2,Four Corners B1,Campinas,9,2025-04-26,1.0,1.0,0.0,3.0
Estudante 2::Four Corners B1::Campinas,Estudante 2,Four Corners B1,Campinas,10,2025-05-17,0.0,0.0,1.0,1.0
Estudante 2::Four Corners B1::Campinas,Estudante 2,Four Corners B1,Campinas,11,2025-05-24,1.0,1.0,1.0,3.0
Estudante 2::Four Corners B1::Campinas,Estudante 2,Four Corners B1,Campinas,12,2025-05-31,1.0,1.0,1.0,3.0
Estudante 2::Four Corners B1::Campinas,Estudante 2,Four Corners B1,Campinas,13,2025-06-07,1.0,1.0,0.0,3.0
Estudante 2::Four Corners B1::Campinas,Estudante 2,Four Corners B1,Campinas,14,,0.0,0.0,0.0,1.0
Estudante 3::Four Corners B1::Campinas,Estudante 3,Four Corners B1,Campinas,1,2025-02-08,0.0,0.0,0.0,1.0
Estudante 3::Four Corners B1::Campinas,Estudante 3,Four Corners B1,Campinas,2,2025-02-15,0.0,0.0,0.0,1.0
Estudante 3::Four Corners B1::Campinas,Estudante 3,Four Corners B1,Campinas,3,2025-02-22,0.0,0.0,0.0,1.0
Estudante 3::Four Corners B1::Campinas,Estudante 3,Four Corners B1,Campinas,4,2025-03-08,0.0,0.0,0.0,1.0
Estudante 3::Four Corners B1::Campinas,Estudante 3,Four Corners B1,Campinas,5,2025-03-15,0.0,0.0,0.0,1.0
Estudante 3::Four Corners B1::Campinas,Estudante 3,Four Corners B1,Campinas,6,2025-03-29,0.0,0.0,0.0,1.0
Estudante 3::Four Corners B1::Campinas,Estudante 3,Four Corners B1,Campinas,7,2025-04-05,0.0,0.0,0.0,1.0
Estudante 3::Four Corners B1::Campinas,Estudante 3,Four Corners B1,Campinas,8,2025-04-12,0.0,0.0,0.0,1.0
Estudante 3::Four Corners B1::Campinas,Estudante 3,Four Corners B1,Campinas,9,2025-04-26,0.0,0.0,0.0,1.0
Estudante 3::Four Corners B1::Campinas,Estudante 3,Four Corners B1,Campinas,10,2025-05-17,0.0,0.0,0.0,1.0
Estudante 3::Four Corners B1::Campinas,Estudante 3,Four Corners B1,Campinas,11,2025-05-24,0.0,0.0,0.0,1.0
Estudante 3::Four Corners B1::Campinas,Estudante 3,Four Corners B1,Campinas,12,2025-05-31,0.0,0.0,0.0,1.0
Estudante 3::Four Corners B1::Campinas,Estudante 3,Four Corners B1,Campinas,13,2025-06-07,0.0,0.0,0.0,1.0
Estudante 3::Four Corners B1::Campinas,Estudante 3,Four Corners B1,Campinas,14,,0.0,0.0,0.0,1.0
Estudante 4::Four Corners B1::Campinas,Estudante 4,Four Corners B1,Campinas,1,2025-02-08,0.0,0.0,0.0,1.0
Estudante 4::Four Corners B1::Campinas,Estudante 4,Four Corners B1,Campinas,2,2025-02-15,1.0,1.0,1.0,3.0
Estudante 4::Four Corners B1::Campinas,Estudante 4,Four Corners B1,Campinas,3,2025-02-22,1.0,1.0,0.0,3.0
Estudante 4::Four Corners B1::Campinas,Estudante 4,Four Corners B1,Campinas,4,2025-03-08,0.0,1.0,1.0,3.0
Estudante 4::Four Corners B1::Campinas,Estudante 4,Four Corners B1,Campinas,5,2025-03-15,0.0,1.0,1.0,3.0
Estudante 4::Four Corners B1::Campinas,Estudante 4,Four Corners B1,Campinas,6,2025-03-29,1.0,0.0,1.0,1.0
Estudante 4::Four Corners B1::Campinas,Estudante 4,Four Corners B1,Campinas,7,2025-04-05,1.0,1.0,0.0,3.0
Estudante 4::Four Corners B1::Campinas,Estudante 4,Four Corners B1,Campinas,8,2025-04-12,0.0,0.0,0.0,1.0
Estudante 4::Four Corners B1::Campinas,Estudante 4,Four Corners B1,Campinas,9,2025-04-26,0.0,0.0,0.0,1.0
Estudante 4::Four Corners B1::Campinas,Estudante 4,Four Corners B1,Campinas,10,2025-05-17,0.0,0.0,0.0,1.0
Estudante 4::Four Corners B1::Campinas,Estudante 4,Four Corners B1,Campinas,11,2025-05-24,0.0,0.0,0.0,1.0
Estudante 4::Four Corners B1::Campinas,Estudante 4,Four Corners B1,Campinas,12,2025-05-31,0.0,0.0,0.0,1.0
Estudante 4::Four Corners B1::Campinas,Estudante 4,Four Corners B1,Campinas,13,2025-06-07,0.0,0.0,0.0,1.0
Estudante 4::Four Corners B1::Campinas,Estudante 4,Four Corners B1,Campinas,14,,0.0,0.0,0.0,1.0
Estudante 5::Four Corners B1::Campinas,Estudante 5,Four Corners B1,Campinas,1,2025-02-08,0.0,0.0,0.0,1.0
Estudante 5::Four Corners B1::Campinas,Estudante 5,Four Corners B1,Campinas,2,2025-02-15,1.0,1.0,1.0,3.0
Estudante 5::Four Corners B1::Campinas,Estudante 5,Four Corners B1,Campinas,3,2025-02-22,1.0,1.0,1.0,3.0
Estudante 5::Four Corners B1::Campinas,Estudante 5,Four Corners B1,Campinas,4,2025-03-08,1.0,1.0,1.0,3.0
Estudante 5::Four Corners B1::Campinas,Estudante 5,Four Corners B1,Campinas,5,2025-03-15,1.0,1.0,1.0,3.0
Estudante 5::Four Corners B1::Campinas,Estudante 5,Four Corners B1,Campinas,6,2025-03-29,1.0,1.0,1.0,3.0
Estudante 5::Four Corners B1::Campinas,Estudante 5,Four Corners B1,Campinas,7,2025-04-05,1.0,1.0,1.0,3.0
Estudante 5::Four Corners B1::Campinas,Estudante 5,Four Corners B1,Campinas,8,2025-04-12,1.0,0.0,1.0,1.0
Estudante 5::Four Corners B1::Campinas,Estudante 5,Four Corners B1,Campinas,9,2025-04-26,1.0,1.0,1.0,3.0
Estudante 5::Four Corners B1::Campinas,Estudante 5,Four Corners B1,Campinas,10,2025-05-17,1.0,1.0,1.0,3.0
Estudante 5::Four Corners B1::Campinas,Estudante 5,Four Corners B1,Campinas,11,2025-05-24,1.0,1.0,1.0,3.0
Estudante 5::Four Corners B1::Campinas,Estudante 5,Four Corners B1,Campinas,12,2025-05-31,1.0,1.0,1.0,3.0
Estudante 5::Four Corners B1::Campinas,Estudante 5,Four Corners B1,Campinas,13,2025-06-07,1.0,1.0,0.0,3.0
Estudante 5::Four Corners B1::Campinas,Estudante 5,Four Corners B1,Campinas,14,,0.0,0.0,0.0,1.0
Estudante 6::Four Corners B1::Campinas,Estudante 6,Four Corners B1,Campinas,1,2025-02-08,0.0,1.0,0.0,3.0
Estudante 6::Four Corners B1::Campinas,Estudante 6,Four Corners B1,Campinas,2,2025-02-15,1.0,0.0,0.0,1.0
Estudante 6::Four Corners B1::Campinas,Estudante 6,Four Corners B1,Campinas,3,2025-02-22,0.0,0.0,1.0,3.0
Estudante 6::Four Corners B1::Campinas,Estudante 6,Four Corners B1,Campinas,4,2025-03-08,1.0,1.0,1.0,1.0
Estudante 6::Four Corners B1::Campinas,Estudante 6,Four Corners B1,Campinas,5,2025-03-15,1.0,1.0,0.0,3.0
Estudante 6::Four Corners B1::Campinas,Estudante 6,Four Corners B1,Campinas,6,2025-03-29,0.0,1.0,1.0,3.0
Estudante 6::Four Corners B1::Campinas,Estudante 6,Four Corners B1,Campinas,7,2025-04-05,1.0,1.0,1.0,3.0
Estudante 6::Four Corners B1::Campinas,Estudante 6,Four Corners B1,Campinas,8,2025-04-12,1.0,1.0,1.0,3.0
Estudante 6::Four Corners B1::Campinas,Estudante 6,Four Corners B1,Campinas,9,2025-04-26,1.0,1.0,1.0,3.0
Estudante 6::Four Corners B1::Campinas,Estudante 6,Four Corners B1,Campinas,10,2025-05-17,1.0,1.0,1.0,3.0
Estudante 6::Four Corners B1::Campinas,Estudante 6,Four Corners B1,Campinas,11,2025-05-24,1.0,1.0,1.0,3.0
Estudante 6::Four Corners B1::Campinas,Estudante 6,Four Corners B1,Campinas,12,2025-05-31,1.0,0.0,0.0,1.0
Estudante 6::Four Corners B1::Campinas,Estudante 6,Four Corners B1,Campinas,13,2025-06-07,1.0,1.0,0.0,3.0
Estudante 6::Four Corners B1::Campinas,Estudante 6,Four Corners B1,Campinas,14,,0.0,0.0,0.0,1.0
Estudante 7::Four Corners B1::Campinas,Estudante 7,Four Corners B1,Campinas,1,2025-02-08,0.0,1.0,0.0,3.0
